name,url,author,publisher,date,price,rate,persons,comment
长恨歌,https://book.douban.com/subject/1082349/,王安忆,南海出版公司,Aug-03,22.00元,8.2,"(
37309人评价
)",现代上海史诗
东霓,https://book.douban.com/subject/4874131/,笛安,长江文艺出版社,2010/7/1,26.80元,8.1,"(
37810人评价
)",自毁而偏执的东霓
最好的我们,https://book.douban.com/subject/24754316/,八月长安,湖南文艺出版社,2013/8/5,55,8.8,"(
33561人评价
)",耿耿余淮
失恋33天,https://book.douban.com/subject/4238754/,鲍鲸鲸,中信出版社,Jan-10,25.00元,8.1,"(
37478人评价
)",失恋是一种病，痊愈之后百毒不侵
你一定爱读的极简欧洲史,https://book.douban.com/subject/5366248/,"约翰·赫斯特（JohnHirst）,席玉苹",广西师范大学出版社,2011/11/25,25.00元,8.2,"(
36638人评价
)",欧洲，为什么老是抢第一？
伊豆的舞女,https://book.douban.com/subject/1005521/,"[日]川端康成,叶渭渠",广西师范大学出版社,Feb-02,23.80元,8.2,"(
36598人评价
)",静美又残酷，无限柔软的川端
时间简史,https://book.douban.com/subject/1034282/,"[英]史蒂芬·霍金,许明贤",湖南科学技术出版社,Apr-10,45.00元,8.8,"(
33472人评价
)",霍金与上帝的战争
瓦尔登湖,https://book.douban.com/subject/1865089/,"[美]梭罗,徐迟",上海译文出版社,Aug-06,11.00元,8.4,"(
35727人评价
)",另一种生活
我与地坛,https://book.douban.com/subject/1209899/,史铁生,春风文艺出版社,May-02,25.00元,9,"(
32534人评价
)",这是你的罪孽与福祉
呼兰河传,https://book.douban.com/subject/1060852/,萧红,百花文艺出版社,Jan-05,19,8.9,"(
32750人评价
)",萧红的童年往事
历史深处的忧虑,https://book.douban.com/subject/1027191/,林达,生活·读书·新知三联书店,May-97,19.00元,9,"(
31750人评价
)",窥见美国社会的一扇窗
红与黑,https://book.douban.com/subject/1007433/,"[法]司汤达,张冠尧",人民文学出版社,2002,20.00元,8.2,"(
35241人评价
)",阴谋与爱情
中国历代政治得失,https://book.douban.com/subject/1003479/,钱穆,生活·读书·新知三联书店,2001,12.00元,9.2,"(
30799人评价
)",一部简明的“中国政治制度史”
夏洛的网,https://book.douban.com/subject/1036274/,"[美]E.B.怀特,任溶溶",上海译文出版社,May-04,17.00元,8.6,"(
32901人评价
)",猪与蜘蛛
陆犯焉识,https://book.douban.com/subject/6880158/,严歌苓,作家出版社,Oct-11,35.00元,8.8,"(
31520人评价
)",翻手为苍凉，覆手为繁华
一九八四·动物农场,https://book.douban.com/subject/1082387/,"[英]乔治·奥威尔,董乐山",上海译文出版社,Apr-03,23.00元,9.3,"(
29816人评价
)",一个预言和一个寓言，令人窒息的政治恐怖
大地之灯,https://book.douban.com/subject/1963310/,七堇年,长江文艺出版社,Jan-07,22.00元,8.2,"(
34208人评价
)",两代人的成长与救赎
我的天才女友,https://book.douban.com/subject/26878124/,"[意]埃莱娜·费兰特,陈英",人民文学出版社,Jan-17,42.00元,8.5,"(
32665人评价
)",两个女人，50年的友谊和战争
影响力,https://book.douban.com/subject/1786387/,"[美]罗伯特·西奥迪尼,陈叙",中国人民大学出版社,May-06,45.00元,8.6,"(
31580人评价
)",营销防骗指南
匆匆那年（上下）,https://book.douban.com/subject/2567919/,九夜茴,东方出版社,Jan-08,29,8.3,"(
33442人评价
)",不悔梦归处只恨太匆匆
橙,https://book.douban.com/subject/5327697/,安东尼,长江文艺出版社,Oct-10,28.80元,8.2,"(
33219人评价
)",定做一个刻着“不过如此”的章，盖在封面上
香水,https://book.douban.com/subject/1292416/,"[德]帕·聚斯金德,李清华",上海译文出版社,May-05,20.00元,8.5,"(
31697人评价
)",恋味癖谋杀案
世界尽头与冷酷仙境,https://book.douban.com/subject/1291809/,"[日]村上春树,林少华",上海译文出版社,Dec-02,23.00元,8.6,"(
31417人评价
)",交叉平行蒙太奇
自控力,https://book.douban.com/subject/10786473/,"[美]凯利·麦格尼格尔,王岑卉",文化发展出版社(原印刷工业出版社),Aug-12,39.80元,8.3,"(
32709人评价
)",要么瘦，要么死
人生,https://book.douban.com/subject/3803820/,路遥,北京十月文艺出版社,May-09,20.00元,8.4,"(
31492人评价
)",如果你是高加林，你要如何选择？
看不见的城市,https://book.douban.com/subject/1863930/,"[意大利]伊塔洛·卡尔维诺,张宓",译林出版社,Aug-06,16.00元,8.8,"(
30146人评价
)",每一座城市都只在想象中耸立，又在描述中坍圮
冰与火之歌（卷一）,https://book.douban.com/subject/1336330/,"[美]乔治·R.R.马丁,谭光磊",重庆出版社,May-05,68.00元,9.3,"(
28219人评价
)",凛冬将至。无比宏大的世界观
那些年，我们一起追的女孩,https://book.douban.com/subject/1958227/,九把刀,花山文艺出版社,Jan-07,20.00元,8.2,"(
32679人评价
)",那些年错过的大雨
江城,https://book.douban.com/subject/7060185/,"[美]彼得·海斯勒,李雪顺",上海译文出版社,Jan-12,36.00元,9,"(
29056人评价
)",外国人的寻路中国
变形记,https://book.douban.com/subject/1213546/,"[奥]卡夫卡,叶廷芳",浙江文艺出版社,Apr-03,16.00元,8.4,"(
31132人评价
)",格里高里清早醒来发现自己变成了甲虫
把时间当作朋友,https://book.douban.com/subject/3609132/,李笑来,电子工业出版社,Jun-09,32.00元,8.4,"(
31057人评价
)",反成功学的成功学
阿狸·梦之城堡,https://book.douban.com/subject/3554154/,hans,上海锦绣文章出版社,Jan-09,36.80元,9,"(
28368人评价
)",治愈
天使与魔鬼,https://book.douban.com/subject/1228110/,"[美]丹.布朗,朱振武",人民文学出版社,Feb-05,29.80元,8.1,"(
30948人评价
)",科学与宗教的大乱斗
七夜雪,https://book.douban.com/subject/1919201/,沧月,北京十月文艺出版社,Oct-06,25.00元,8.4,"(
29400人评价
)",抵不过时间
人性的弱点全集,https://book.douban.com/subject/1056295/,"[美]戴尔·卡耐基,袁玲",中国发展出版社,Jan-08,25.00元,8.2,"(
30129人评价
)",西方世界最持久的人文畅销书
ZOO,https://book.douban.com/subject/2297697/,"[日]乙一,李颖秋",当代世界出版社,Oct-07,20.00元,8.6,"(
28838人评价
)",噩梦中的一丝温度
往事并不如烟,https://book.douban.com/subject/1059336/,章诒和,人民文学出版社,Jan-04,35.00元,8.6,"(
28475人评价
)",知识分子的命运浮沉
国境以南太阳以西,https://book.douban.com/subject/1015452/,"[日]村上春树,林少华",上海译文出版社,Aug-01,13.50元,8.3,"(
29600人评价
)",灾星下出生的恋人们
未来简史,https://book.douban.com/subject/26943161/,"[以色列]尤瓦尔·赫拉利,林俊宏",中信出版集团,Feb-17,68.00元,8.4,"(
28531人评价
)",人类面临的新议题
蔷薇岛屿,https://book.douban.com/subject/1063190/,安妮宝贝,作家出版社,Aug-02,18.00元,8,"(
30046人评价
)",你们不会彼此遗忘。只会彼此消失
项链,https://book.douban.com/subject/1258498/,"[法]莫泊桑,顾加琛等",河北教育出版社,Feb-05,28.00元,8.3,"(
28306人评价
)",空
一句顶一万句,https://book.douban.com/subject/3633461/,刘震云,长江文艺出版社,Mar-09,29.8,8.7,"(
27273人评价
)",一句胜过千年
